V1,time_stamp,validity_1,validity_2,validity_3,validity_4,validity_5,validity_r_1,validity_r_2,validity_r_3,validity_r_4,validity_r_5,gaze_left_1,gaze_left_2,gaze_left_3,gaze_right_1,gaze_right_2,gaze_right_3, gaze_origin_left_1, gaze_origin_left_2, gaze_origin_left_3,gaze_origin_right_1, gaze_origin_right_2, gaze_origin_right_3,convergence_validity,convergence_distance,pupil_diameter,pupil_diameter_r,eye_open,eye_open_r,time,v1_head,v2,x,y,z,qw,qx,qy,qz
3768440,1578642404143210,1,1,1,1,0,1,1,1,1,0,0.16473389,0.12750244,0.97805786,0.23071289,0.17530823,0.95709229,33.96878052,1.42980957,-32.69404602,-24.85592651,1.20199585,-23.09577942,0,0.0,4.26783752,4.26783752,1.0,1.0,1578642404141697,252432839808, HMD, -0.07487, 1.18259, 0.39099, 0.00624, -0.01701, 0.99831, -0.05515
3768440,1578642404147209,1,1,1,1,0,1,1,1,1,0,0.16473389,0.12750244,0.97805786,0.23071289,0.17530823,0.95709229,33.96878052,1.42980957,-32.69404602,-24.85592651,1.20199585,-23.09577942,0,0.0,4.26783752,4.26783752,1.0,1.0,1578642404151049,252432933350, HMD, -0.07484, 1.18257, 0.39097, 0.00621, -0.01707, 0.99831, -0.05511
3768448,1578642404151224,1,1,1,1,0,1,1,1,1,0,0.152771,0.10118103,0.98306274,0.19104004,0.11819458,0.97442627,33.54983521,0.38313293,-29.85113525,-25.02629089,0.72782898,-22.21443176,0,0.0,4.3536377,4.3536377,1.0,1.0,1578642404151357,252432936412, HMD, -0.07484, 1.18257, 0.39097, 0.00621, -0.01707, 0.99831, -0.05511
3768448,1578642404155233,1,1,1,1,0,1,1,1,1,0,0.152771,0.10118103,0.98306274,0.19104004,0.11819458,0.97442627,33.54983521,0.38313293,-29.85113525,-25.02629089,0.72782898,-22.21443176,0,0.0,4.3536377,4.3536377,1.0,1.0,1578642404154504,252432967879, HMD, -0.07484, 1.18257, 0.39097, 0.00620, -0.01708, 0.99832, -0.05509
3768448,1578642404159228,1,1,1,1,0,1,1,1,1,0,0.13101196,0.02178955,0.99113464,0.14784241,0.03892517,0.98823547,33.28590393,0.26515198,-29.78855896,-25.10896301,0.6557312,-22.63577271,0,0.0,4.52227783,4.52227783,1.0,1.0,1578642404154504,252432967879, HMD, -0.07484, 1.18257, 0.39097, 0.00620, -0.01708, 0.99832, -0.05509
3768456,1578642404163205,1,1,1,1,0,1,1,1,1,0,0.13101196,0.02178955,0.99113464,0.14784241,0.03892517,0.98823547,33.28590393,0.26515198,-29.78855896,-25.10896301,0.6557312,-22.63577271,0,0.0,4.52227783,4.52227783,1.0,1.0,1578642404166929,252433092148, HMD, -0.07482, 1.18256, 0.39095, 0.00618, -0.01714, 0.99832, -0.05502
3768465,1578642404167208,1,1,1,1,0,1,1,1,1,0,0.09559631,-0.03413391,0.99482727,0.11114502,-0.03775024,0.99307251,33.07597351,0.04177856,-29.82090759,-25.28662109,0.65734863,-23.11297607,0,0.0,4.42118835,4.42118835,1.0,1.0,1578642404167244,252433095286, HMD, -0.07482, 1.18256, 0.39095, 0.00618, -0.01714, 0.99832, -0.05502
3768465,1578642404171221,1,1,1,1,0,1,1,1,1,0,0.09559631,-0.03413391,0.99482727,0.11114502,-0.03775024,0.99307251,33.07597351,0.04177856,-29.82090759,-25.28662109,0.65734863,-23.11297607,0,0.0,4.42118835,4.42118835,1.0,1.0,1578642404170193,252433124775, HMD, -0.07482, 1.18256, 0.39095, 0.00618, -0.01715, 0.99832, -0.05500
3768473,1578642404175203,1,1,1,1,0,1,1,1,1,0,0.08189392,-0.07730103,0.99363708,0.09066772,-0.09196472,0.99162292,32.90634155,-0.09767151,-29.97390747,-25.42782593,0.4609375,-23.11598206,0,0.0,4.521698,4.521698,1.0,1.0,1578642404170193,252433124775, HMD, -0.07482, 1.18256, 0.39095, 0.00618, -0.01715, 0.99832, -0.05500
3768473,1578642404180190,1,1,1,1,0,1,1,1,1,0,0.08189392,-0.07730103,0.99363708,0.09066772,-0.09196472,0.99162292,32.90634155,-0.09767151,-29.97390747,-25.42782593,0.4609375,-23.11598206,0,0.0,4.521698,4.521698,1.0,1.0,1578642404189897,252433321867, HMD, -0.07484, 1.18259, 0.39097, 0.00621, -0.01723, 0.99832, -0.05489
3768481,1578642404184201,1,1,1,1,0,1,1,1,1,0,0.0382843,-0.12138367,0.99185181,0.06611633,-0.12892151,0.98944092,32.75505066,-0.11933899,-30.28746033,-25.55767822,0.34797668,-23.24371338,0,0.0,4.37431335,4.37431335,1.0,1.0,1578642404189897,252433321867, HMD, -0.07484, 1.18259, 0.39097, 0.00621, -0.01723, 0.99832, -0.05489
3768481,1578642404188021,1,1,1,1,0,1,1,1,1,0,0.0382843,-0.12138367,0.99185181,0.06611633,-0.12892151,0.98944092,32.75505066,-0.11933899,-30.28746033,-25.55767822,0.34797668,-23.24371338,0,0.0,4.37431335,4.37431335,1.0,1.0,1578642404189897,252433321867, HMD, -0.07484, 1.18259, 0.39097, 0.00621, -0.01723, 0.99832, -0.05489
3768481,1578642404192183,1,1,1,1,0,1,1,1,1,0,0.03927612,-0.15496826,0.98713684,0.04849243,-0.15545654,0.98664856,32.67079163,-0.27331543,-30.12489319,-25.65116882,0.30091858,-23.50567627,0,0.0,4.41287231,4.41287231,1.0,1.0,1578642404192151,252433344355, HMD, -0.07485, 1.18260, 0.39099, 0.00624, -0.01724, 0.99833, -0.05487
3768490,1578642404196183,1,1,1,1,0,1,1,1,1,0,0.03927612,-0.15496826,0.98713684,0.04849243,-0.15545654,0.98664856,32.67079163,-0.27331543,-30.12489319,-25.65116882,0.30091858,-23.50567627,0,0.0,4.41287231,4.41287231,1.0,1.0,1578642404193408,252433356928, HMD, -0.07486, 1.18260, 0.39099, 0.00624, -0.01725, 0.99833, -0.05486
3768498,1578642404201185,1,1,1,1,0,1,1,1,1,0,0.03149414,-0.17932129,0.98327637,0.05007935,-0.17694092,0.98294067,32.65422058,-0.23899841,-30.30293274,-25.66928101,0.28092957,-23.64259338,0,0.0,4.55052185,4.55052185,1.0,1.0,1578642404202830,252433451183, HMD, -0.07487, 1.18260, 0.39099, 0.00626, -0.01727, 0.99833, -0.05485
3768498,1578642404205189,1,1,1,1,0,1,1,1,1,0,0.03149414,-0.17932129,0.98327637,0.05007935,-0.17694092,0.98294067,32.65422058,-0.23899841,-30.30293274,-25.66928101,0.28092957,-23.64259338,0,0.0,4.55052185,4.55052185,1.0,1.0,1578642404205200,252433474839, HMD, -0.07487, 1.18259, 0.39099, 0.00626, -0.01728, 0.99833, -0.05485
3768506,1578642404209176,1,1,1,1,0,1,1,1,1,0,0.02944946,-0.17248535,0.98455811,0.05686951,-0.18041992,0.98193359,32.70422363,-0.34608459,-30.00898743,-25.69665527,0.23475647,-23.48298645,0,0.0,4.52734375,4.52734375,0.93295848,0.87179661,1578642404206064,252433483482, HMD, -0.07487, 1.18259, 0.39099, 0.00625, -0.01729, 0.99833, -0.05485
3768506,1578642404213186,1,1,1,1,0,1,1,1,1,0,0.02944946,-0.17248535,0.98455811,0.05686951,-0.18041992,0.98193359,32.70422363,-0.34608459,-30.00898743,-25.69665527,0.23475647,-23.48298645,0,0.0,4.52734375,4.52734375,0.93295848,0.87179661,1578642404214124,252433564085, HMD, -0.07489, 1.18259, 0.39099, 0.00630, -0.01733, 0.99832, -0.05489
